"APC" "KRAS" "TP53" "PIK3CA" "Exist"
"183" 0.0455163043478261 0.0061141304347826 0.00271739130434782 0.0414402173913043 1
"184" 0.0512465373961219 0.0110803324099723 0.0159279778393352 0.0159279778393352 1
"185" 0 0 0 0 0
"186" 0 0 0 0 0
"187" 0 0 0 0 0
"188" 0 0 0 0 0
"189" 0 0 0 0 0
"190" 0 0 0 0 0
"191" 0.0389408099688473 0 0.0467289719626168 0.0794392523364485 1
"192" 0 0 0 0 0
"193" 0.149863760217984 0 0.00544959128065395 0.0190735694822888 1
"194" 0 0 0 0 0
"195" 0 0 0 0 0
"196" 0 0 0 0 0
"197" 0 0 0 0 0
"198" 0 0 0 0 0
"199" 0 0 0 0 0
"200" 0 0 0 0 0
"201" 0 0 0 0 0
"202" 0.0993091537132989 0.00345423143350604 0 0.0155440414507772 1
"203" 0.0427631578947369 0 0.0049342105263158 0.0208333333333333 1
"204" 0 0 0 0 0
"205" 0 0 0 0 0
"206" 0 0 0 0 0
"207" 0.0952380952380952 0 0 0 1
"208" 0.0394366197183098 0.0154929577464789 0.0028169014084507 0.023943661971831 1
"209" 0.176174496644295 0.0134228187919463 0.00335570469798658 0.040268456375839 1
"210" 0 0 0 0.285714285714286 1
"211" 0.144039735099338 0 0.0149006622516556 0.0405629139072847 1
"212" 0.0583109919571045 0.00268096514745308 0.0180965147453084 0.0308310991957104 1
"213" 0.0283018867924528 0.00221975582685904 0.00610432852386237 0.0133185349611543 1
"214" 0.0577181208053691 0.000671140939597315 0.00939597315436242 0.0120805369127517 1
"215" 0.05578231292517 0 0.00204081632653061 0.0258503401360544 1
"216" 0.249295774647887 0.0126760563380282 0.0028169014084507 0.0915492957746478 1
"217" 0.195652173913043 0 0 0.108695652173913 1
"218" 0.153389830508475 0 0.0161016949152542 0.0728813559322034 1
"219" 0.099609375 0.0234375 0.00390625 0.11328125 1
"220" 0 0 0 0 1
"221" 0 0 0 0 0
"222" 0.0968660968660968 0.00498575498575499 0.0384615384615384 0.0356125356125356 1
"223" 0 0 0 0 0
